Zürich HB,an,—,54,—,—,39,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,ab,—,6,—,—,21,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Thalwil,an,—,—,—,—,38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Thalwil,ab,—,—,—,—,38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Baar,an,—,—,—,—,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Baar,ab,—,—,—,—,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zug,an,—,—,—,—,56,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,an,—,13,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Zug,ab,—,36,34,34,—,34,34,34,33,34,33,33,33,33,33,35,35,32,35,35,35,35,34,32
Baar,an,—,38,37,37,—,37,37,37,36,37,36,36,36,35,35,38,38,35,38,38,38,37,36,34
Baar,ab,—,38,37,37,—,37,37,37,36,37,36,36,36,36,36,38,38,36,38,38,38,38,37,35
Thalwil,an,—,54,51,51,—,51,51,51,51,51,51,51,51,51,51,54,54,54,54,54,54,54,53,53
Thalwil,ab,—,54,51,51,—,51,51,51,51,51,52,52,52,52,52,—,—,—,—,—,—,—,54,54
Zürich HB,an,—,10,9,9,—,9,9,9,9,9,9,9,9,9,9,—,—,—,—,—,—,—,12,12
Zürich HB,ab,—,12,14,14,—,14,14,14,14,14,14,14,14,14,14,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,an,—,17,21,21,—,21,21,21,21,21,20,20,20,21,21,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,ab,—,18,22,22,22,22,22,22,22,22,22,22,22,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,an,—,—,26,26,26,26,26,26,26,26,26,26,26,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,—,27,27,27,27,27,27,27,27,27,27,27,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,38,46,46,46,46,46,46,46,46,46,46,46,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,40,48,48,48,48,48,48,48,48,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frauenfeld,an,—,57,4,4,4,4,4,4,4,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frauenfeld,ab,—,—,4,4,4,4,4,4,4,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Weinfelden,an,—,—,22,22,22,22,22,22,22,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Weinfelden,ab,—,—,39,39,39,39,39,39,39,39,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frauenfeld,an,—,—,55,55,55,55,55,55,55,55,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Frauenfeld,ab,—,2,56,56,56,56,56,56,56,56,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,19,13,13,13,13,13,13,13,13,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,22,15,15,15,15,15,15,15,15,14,14,14,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,an,—,—,32,32,32,32,32,32,32,32,31,31,31,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,—,34,34,34,34,34,34,34,34,33,33,33,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,an,—,42,38,38,38,38,38,38,38,38,37,37,37,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,ab,—,43,39,39,—,39,39,39,39,39,38,38,38,39,39,—,—,—,—,—,—,—,—,—
Zürich HB,an,—,48,46,46,—,46,46,46,46,46,46,46,46,46,46,—,—,—,—,—,—,—,—,—
Zürich HB,ab,—,50,51,51,—,51,51,51,51,51,51,51,51,51,51,—,—,—,—,—,—,—,47,39
Thalwil,an,—,5,8,8,—,8,8,8,8,8,8,8,8,8,8,—,—,—,—,—,—,—,4,58
Thalwil,ab,—,6,8,8,—,8,8,8,8,8,9,9,9,9,9,5,5,5,5,5,5,5,5,59
Baar,an,—,20,22,22,—,21,21,22,22,22,21,21,21,21,21,19,19,19,19,19,19,19,19,15
Baar,ab,—,20,22,22,—,22,22,22,22,22,21,21,21,22,22,20,20,20,20,20,20,20,20,16
Zug,an,—,24,26,26,—,26,26,26,26,26,25,25,25,25,25,24,24,24,24,24,24,23,23,19
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Rapperswil SG,ab,—,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,2
Zürich HB,an,—,48,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,49,51
Zürich HB,ab,—,50,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,51,—
Zürich Oerlikon,an,—,—,56,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,—
Zürich Oerlikon,ab,—,—,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,—
Winterthur,an,—,—,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,—
Zürich Altstetten,an,—,55,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,56,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Dietikon,an,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Dietikon,ab,—,55,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,an,—,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,—,35,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,38,37,—
Zürich Oerlikon,an,—,—,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,—
Zürich Oerlikon,ab,—,—,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,—
Zürich HB,an,—,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,—
Zürich HB,ab,—,12,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,3
Rapperswil SG,an,—,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Rapperswil SG,ab,—,38,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,32
Zürich HB,an,—,18,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,21
Zürich HB,ab,—,20,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,21,—
Zürich Oerlikon,an,—,—,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,—
Zürich Oerlikon,ab,—,—,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,—
Winterthur,an,—,—,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,54,54,54,—
Zürich Altstetten,an,—,25,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Dietikon,an,—,35,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Dietikon,ab,—,25,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,an,—,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,34,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,—,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,7,—
Zürich Oerlikon,an,—,—,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,—
Zürich Oerlikon,ab,—,—,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,—
Zürich HB,an,—,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,—
Zürich HB,ab,—,42,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,33
Rapperswil SG,an,—,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Aarau,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,33
Wildegg,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43
Wildegg,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,44
Brugg AG,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,53
Brugg AG,ab,—,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,38,55
Turgi,an,—,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,42,59
Turgi,ab,—,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,0
Baden,an,—,45,46,46,46,46,46,46,46,46,45,45,45,45,45,45,45,45,45,44,45,45,47,5
Baden,ab,—,46,47,47,47,47,47,47,47,47,45,45,45,45,45,45,45,45,45,45,46,46,47,16
Wettingen,an,—,48,49,49,49,49,49,49,49,49,48,48,48,48,47,47,47,47,47,47,48,48,49,18
Wettingen,ab,—,48,50,50,50,50,50,50,50,50,48,48,48,48,48,48,48,48,48,48,49,49,50,19
Dietikon,an,—,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,27
Dietikon,ab,—,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Zürich Altstetten,an,—,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,35
Zürich Altstetten,ab,—,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,36
Zürich HB,an,—,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,41
Zürich HB,ab,—,—,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,—
Winterthur,an,—,—,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,38,—
Winterthur,ab,—,—,42,42,42,42,42,42,42,42,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,an,—,—,54,54,54,54,54,54,54,54,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,ab,—,—,54,54,54,54,54,54,54,54,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,an,—,—,9,9,9,9,9,9,9,9,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,ab,—,—,9,9,9,9,9,9,9,9,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Schaffhausen,an,—,—,13,13,13,13,13,13,13,13,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Schaffhausen,ab,—,—,46,46,46,46,46,46,46,46,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,an,—,—,49,49,49,49,49,49,49,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,ab,—,—,49,49,49,49,49,49,49,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,an,—,—,5,5,5,5,5,5,5,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,ab,—,—,5,5,5,5,5,5,5,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,—,19,19,19,19,19,19,19,19,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,—,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,—
Zürich HB,an,—,—,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,—
Zürich HB,ab,—,46,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,12
Zürich Altstetten,an,—,52,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,49,49,49,16
Zürich Altstetten,ab,—,53,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,50,17
Dietikon,an,—,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,24
Dietikon,ab,—,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,25
Wettingen,an,—,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,33
Wettingen,ab,—,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,34
Baden,an,—,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,37
Baden,ab,—,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,50
Turgi,an,—,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,54
Turgi,ab,—,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,55
Brugg AG,an,—,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,59
Brugg AG,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1
Wildegg,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9
Wildegg,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,10
Aarau,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,20
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Brugg AG,ab,—,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,—
Turgi,an,—,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,—
Turgi,ab,—,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,—
Baden,an,—,15,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14,15,15,17,—
Baden,ab,—,16,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,16,16,17,—
Wettingen,an,—,18,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,17,17,18,18,19,—
Wettingen,ab,—,18,20,20,20,20,20,20,20,20,18,18,18,18,18,18,18,18,18,18,19,19,20,—
Dietikon,an,—,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,—
Dietikon,ab,—,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,—
Zürich Altstetten,an,—,37,38,38,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,38,38,—
Zürich Altstetten,ab,—,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,—
Zürich HB,an,—,44,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,—
Zürich HB,ab,—,—,46,46,46,46,46,46,46,46,47,47,47,48,48,48,48,48,48,48,48,48,48,—
Winterthur,an,—,—,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,—
Winterthur,ab,—,—,11,11,11,11,11,11,11,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Wil SG,an,—,—,42,42,42,42,42,42,42,42,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Wil SG,ab,—,—,18,18,18,18,18,18,18,18,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,—,49,49,49,49,49,49,49,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,—,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,—
Zürich HB,an,—,—,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,—
Zürich HB,ab,—,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,—
Zürich Altstetten,an,—,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,—
Zürich Altstetten,ab,—,23,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,20,—
Dietikon,an,—,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,—
Dietikon,ab,—,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,—
Wettingen,an,—,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,37,—
Wettingen,ab,—,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,38,—
Baden,an,—,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,—
Baden,ab,—,45,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,—
Turgi,an,—,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,—
Turgi,ab,—,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,—
Brugg AG,an,—,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,—
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Schaffhausen,ab,—,56,57,57,57,57,57,57,57,57,57,57,57,26,26,26,26,54,54,54,54,54,53,32
Neuhausen,an,—,59,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,57,57,57,56,57,56,34
Neuhausen,ab,—,59,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,59,59,59,57,0,56,35
Bülach,an,—,25,28,28,28,28,28,28,28,28,27,27,27,55,55,55,55,26,26,26,26,26,26,7
Bülach,ab,—,26,28,28,28,28,28,28,28,28,28,28,28,—,—,—,—,—,—,—,—,—,—,9
Zürich Oerlikon,an,—,37,45,45,45,45,45,45,45,45,44,44,44,—,—,—,—,—,—,—,—,—,—,30
Zürich Oerlikon,ab,—,38,46,46,46,46,46,46,46,46,45,45,45,—,—,—,—,—,—,—,—,—,—,31
Zürich HB,an,—,46,53,53,53,53,53,53,53,53,53,53,53,—,—,—,—,—,—,—,—,—,—,40
Zürich HB,ab,—,14,7,7,7,7,7,7,7,7,7,7,7,—,—,—,—,—,—,—,—,—,—,12
Zürich Oerlikon,an,—,21,14,14,14,14,14,14,14,14,14,14,14,—,—,—,—,—,—,—,—,—,—,21
Zürich Oerlikon,ab,—,22,15,15,15,15,15,15,15,15,15,15,15,—,—,—,—,—,—,—,—,—,—,22
Bülach,an,—,33,32,32,32,32,32,32,32,32,32,32,32,—,—,—,—,—,—,—,—,—,—,45
Bülach,ab,—,34,32,32,32,32,32,32,32,32,33,33,33,3,3,3,3,34,34,34,34,34,34,49
Neuhausen,an,—,59,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,0,0,0,0,0,3,23
Neuhausen,ab,—,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,0,0,0,0,0,4,24
Schaffhausen,an,—,4,4,4,4,4,4,4,4,4,4,4,4,30,30,30,30,3,3,3,3,3,7,27
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Schaffhausen,ab,—,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,an,—,29,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,ab,—,29,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bülach,an,—,55,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bülach,ab,—,56,58,58,58,58,58,58,58,58,58,58,58,30,30,30,30,0,0,0,0,0,0,—
Zürich Oerlikon,an,—,7,15,15,15,15,15,15,15,15,14,14,14,44,45,45,45,15,15,15,15,15,16,—
Zürich Oerlikon,ab,—,8,16,16,16,16,16,16,16,16,15,15,15,46,46,46,46,16,16,16,16,16,17,—
Zürich HB,an,—,16,23,23,23,23,23,23,23,23,23,23,23,53,53,53,53,23,23,23,23,23,23,—
Zürich HB,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,55,55,55,55,25,25,25,25,25,26,—
Rapperswil SG,an,—,—,—,—,—,—,—,—,—,—,—,—,—,31,31,31,31,1,1,1,1,1,1,—
Rapperswil SG,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,32,32,32,32,5,5,5,5,5,5,—
Pfäffikon SZ,an,—,—,—,—,—,—,—,—,—,—,—,—,—,37,37,38,38,11,11,11,11,11,11,—
Pfäffikon SZ,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,22,22,22,22,49,49,49,49,49,49,—
Rapperswil SG,an,—,—,—,—,—,—,—,—,—,—,—,—,—,27,27,28,28,55,55,55,55,53,54,—
Rapperswil SG,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,29,29,29,29,59,59,59,59,59,59,—
Zürich HB,an,—,—,—,—,—,—,—,—,—,—,—,—,—,5,5,5,5,35,35,35,35,35,34,—
Zürich HB,ab,—,44,37,37,37,37,37,37,37,37,37,37,37,7,7,7,7,37,37,37,37,39,36,—
Zürich Oerlikon,an,—,51,44,44,44,44,44,44,44,44,44,44,44,13,13,13,13,43,43,43,43,45,42,—
Zürich Oerlikon,ab,—,52,45,45,45,45,45,45,45,45,45,45,45,14,14,14,14,44,44,44,44,46,43,—
Bülach,an,—,3,2,2,2,2,2,2,2,2,2,2,2,30,30,30,30,0,0,0,0,59,59,—
Bülach,ab,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,an,—,29,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,ab,—,30,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Schaffhausen,an,—,34,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Schaffhausen,ab,—,11,—,—,—,—,—,—,—,—,—,—,—,14,14,14,14,14,14,14,14,—,—,—
Neuhausen,an,—,14,—,—,—,—,—,—,—,—,—,—,—,17,17,17,17,17,17,17,17,—,—,—
Neuhausen,ab,—,15,—,—,—,—,—,—,—,—,—,—,—,17,17,17,17,17,17,17,17,—,—,—
Andelfingen,an,—,30,—,—,—,—,—,—,—,—,—,—,—,29,29,29,29,29,29,29,29,—,—,—
Andelfingen,ab,—,31,—,—,—,—,—,—,—,—,—,—,—,30,30,30,30,30,30,30,30,—,—,—
Winterthur,an,—,45,—,—,—,—,—,—,—,—,—,—,—,42,42,42,42,42,42,42,42,—,—,—
Winterthur,ab,—,47,—,—,—,—,—,—,—,—,—,—,—,43,43,43,43,43,43,43,43,—,—,—
Zürich Flughafen,an,—,—,—,—,—,—,—,—,—,—,—,—,—,0,0,59,59,59,59,59,59,—,—,—
Zürich Flughafen,ab,—,—,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,—
Zürich Oerlikon,an,—,—,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,—
Zürich Oerlikon,ab,—,—,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,—
Zürich HB,an,—,5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,—
Zürich HB,ab,—,8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,an,—,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,16,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,an,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,ab,—,25,16,16,16,16,16,16,16,16,16,16,16,47,47,47,47,47,47,47,47,47,47,—
Zürich Oerlikon,an,—,—,23,23,23,23,23,23,23,23,23,23,23,52,52,53,53,53,53,53,53,53,53,—
Zürich Oerlikon,ab,—,—,24,24,24,24,24,24,24,24,24,24,24,54,53,54,54,54,54,54,54,54,54,—
Zürich Flughafen,an,—,—,29,29,29,29,29,29,29,29,29,29,29,59,58,58,58,58,58,58,58,58,59,—
Zürich Flughafen,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,0,0,1,1,1,1,1,1,—,—,—
Winterthur,an,—,43,—,—,—,—,—,—,—,—,—,—,—,17,17,17,17,17,17,17,17,—,—,—
Winterthur,ab,—,45,—,—,—,—,—,—,—,—,—,—,—,19,19,19,19,19,19,19,19,—,—,—
Andelfingen,an,—,58,—,—,—,—,—,—,—,—,—,—,—,29,29,29,29,29,29,29,29,—,—,—
Andelfingen,ab,—,0,—,—,—,—,—,—,—,—,—,—,—,30,30,30,29,30,30,30,30,—,—,—
Neuhausen,an,—,14,—,—,—,—,—,—,—,—,—,—,—,41,41,41,41,41,41,41,41,—,—,—
Neuhausen,ab,—,15,—,—,—,—,—,—,—,—,—,—,—,42,42,42,42,41,41,41,41,—,—,—
Schaffhausen,an,—,19,—,—,—,—,—,—,—,—,—,—,—,46,46,46,46,44,44,44,44,—,—,—
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Bülach,ab,—,13,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,—,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,19
Zürich Oerlikon,an,—,29,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,23
Zürich Oerlikon,ab,—,30,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,24
Zürich HB,an,—,38,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,31
Zürich HB,ab,—,40,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,58,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,an,—,20,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
